hydrological_year,glacier_index,longitude,latitude,winter_temperature_c,summer_temperature_c,winter_precipitation_mm,summer_precipitation_mm
2027,423,6.776,45.799,-2.5436150027889872,8.365328553340587,880.1342127678536,742.0619639652051
2027,424,6.778,45.809,-2.520858020490174,8.39246681809119,882.1122500788142,749.987556827535
2027,427,6.783,45.817,-2.5151878215151053,8.39944075340187,881.8206907433719,754.8158350597329
2027,429,6.784,45.784,-2.61724087643623,8.277566727594454,871.1837936887031,725.5337350516522
2027,431,6.785,45.822,-2.507620653952412,8.40860278336241,882.2491824283958,758.3151421964895
2027,437,6.792,45.817,-2.548156675282866,8.360556514698146,876.8716807069861,750.8258964360559
2027,447,6.799,45.819,-2.5679199361120193,8.337388639129184,873.624352170693,749.4577294013687
2027,448,6.799,45.827,-2.6000488902567125,8.220089113932058,908.0865300984586,760.8979288337049
2027,449,6.799,45.837,-2.515007307199696,8.401067429934606,879.0737759588311,765.1055534510818
2027,459,6.811,45.849,-2.5247638469714757,8.391046636176297,876.0171580836873,769.9921230581226
2027,460,6.819,45.856,-2.5345990513853014,8.380599558617446,873.6431731593527,772.2950852771613
2027,462,6.823,45.859,-2.5410702889978287,8.373558127869337,872.2971524235121,772.991865896866
2027,464,6.831,45.863,-2.5599143025886146,8.352386768727595,868.9947460954432,772.6320795851451
2027,468,6.844,45.863,-2.609207194070127,8.29524318189658,861.6829830931368,766.4611268679314
2027,484,6.862,45.976,-2.3651804335212643,8.604246188834711,884.3293367043848,853.4014233127218
2027,488,6.865,45.868,-2.675058461880043,8.22008346050974,851.2961568244621,760.6529913452905
2027,489,6.865,45.99,-2.3389311198925693,8.63852271191827,886.6235671057957,863.734275236628
2027,490,6.865,45.99,-2.3389311198925693,8.63852271191827,886.6235671057957,863.734275236628
2027,491,6.865,45.99,-2.3389311198925693,8.63852271191827,886.6235671057957,863.734275236628
2027,497,6.871,45.984,-2.448022892941927,8.452083550398857,912.2557268469802,859.3339237776112
2027,498,6.871,45.984,-2.448022892941927,8.452083550398857,912.2557268469802,859.3339237776112
2027,499,6.871,45.984,-2.448022892941927,8.452083550398857,912.2557268469802,859.3339237776112
2027,500,6.871,45.992,-2.4266202197410363,8.479796077649162,914.5974085938464,866.2015466133003
2027,503,6.875,45.88,-2.680389459171615,8.217006939955164,849.0890167350459,765.7874710128801
2027,504,6.877,45.985,-2.402299360940505,8.5662326465415,878.0973914044579,852.717897997553
2027,506,6.88,45.886,-2.683306478291516,8.21532156967234,847.9647410028381,768.3033301582518
2027,509,6.882,45.877,-2.7153872494878333,8.175836676706231,844.2518410384737,759.9181288172903
2027,517,6.888,45.882,-2.7249182437648547,8.166286586633543,842.265419104741,761.1047491638845
2027,518,6.889,45.892,-2.7018824032047286,8.195765875499069,844.5406321513285,768.8068929287335
2027,524,6.901,45.901,-2.724465274016231,8.172787997185088,840.214848275077,770.1864224498
2027,526,6.906,45.895,-2.7597984296885043,8.13032225009485,835.6569319174768,762.8273356030434
2027,527,6.909,45.897,-2.7661776476792155,8.123694170144086,834.4974875204548,762.951641617159
2027,530,6.912,45.907,-2.7516000612010703,8.143870522050552,835.5731812381964,769.5171890936724
2027,531,6.919,45.906,-2.7816073762022624,8.109255891316007,831.2602517719868,765.1817570801699
2027,534,6.924,45.911,-2.7882157525677593,8.103593114971929,829.7640927941169,766.6554184980035
2027,535,6.928,45.905,-2.8193938400052887,8.06573552063736,825.7938462332006,759.8503192178723
2027,537,6.934,45.883,-2.8992194778787854,7.9659746464450185,816.2778519357403,739.4787690440323
2027,539,6.947,45.933,-2.822940031623713,8.073195893602716,822.4567737022162,772.2600759714929
2027,541,6.951,45.939,-2.8238007811318684,8.074891124807191,821.7521474245059,774.8801591032533
2027,542,6.952,45.951,-2.7976608688126596,8.109822721145624,824.4259627460268,783.7903949417919
2027,543,6.955,45.927,-2.869860865012582,8.017418938709206,816.1596099678899,763.3894562746952
2027,544,6.955,45.946,-2.8222920532195905,8.079790617266113,821.3076256508391,778.2580496620106
2027,547,6.957,45.955,-2.8078571995621293,8.100243017298073,822.5687740565494,784.2500031211936
2027,548,6.96,45.887,-2.989299896993306,7.863935692445948,802.4497439761208,729.8762569408533
2027,549,6.961,45.912,-2.9309873889602813,7.941323617344318,808.615695626501,748.6556608511924
2027,553,6.969,45.888,-3.0215648978137497,7.827281519848917,797.5403323301869,726.2270138646304
2027,557,6.977,45.894,-3.037805085921733,7.81126988272464,794.5303103672567,726.8470142346122
2027,564,6.985,45.951,-2.930904705256466,7.960019174293555,804.9972573238198,766.1152805308393
2027,566,6.986,45.973,-2.8817686867164305,8.026584744272036,810.2278710962787,782.4240088566306
2027,567,6.986,45.973,-2.8817686867164305,8.026584744272036,810.2278710962787,782.4240088566306
2027,569,6.988,45.987,-2.856207471315869,8.062636735226976,812.7374141841431,792.072208955545
2027,571,6.99,45.969,-2.9077886185228903,7.9953808557888975,806.7948597217728,777.1605824322073
2027,572,6.992,45.913,-3.0503768641963904,7.805797492438934,790.862828515367,733.6657170936104
2027,574,6.994,45.896,-3.0989485541099056,7.742120187491601,785.2299655276125,719.9257590101352
2027,575,6.994,45.965,-2.933719120827424,7.964229273085509,803.3675341100252,771.9235209906243
2027,577,7.0,45.895,-3.124630325888393,7.712213417405368,781.4936894157004,716.2057046771331
2027,579,7.003,45.96,-2.984088559813397,7.908626871557338,797.7168008361458,763.8621847445772
2027,582,7.008,45.954,-3.0206568406222667,7.870004006059356,794.8386035059489,757.7239841535286
2028,423,6.776,45.799,-2.462173636165427,8.22319804357452,955.5468667487931,857.5267271842208
2028,424,6.778,45.809,-2.4372306090999634,8.249961822021145,956.8206630082964,866.3702027934579
2028,427,6.783,45.817,-2.430461467509509,8.256823411049133,955.7175057880262,871.8397723217025
2028,429,6.784,45.784,-2.5411848241236923,8.136616197068246,946.8417183702832,839.3562893488635
2028,431,6.785,45.822,-2.421991996047473,8.265851813156411,955.7194265749365,875.7625354901301
2028,437,6.792,45.817,-2.4651513571053867,8.218437307823214,950.1207903011317,867.6202660793065
2028,447,6.799,45.819,-2.485739030605117,8.195558225515267,946.2593548188447,866.2576679152176
2028,448,6.799,45.827,-2.515811301744877,8.077864118542282,982.9112655370311,879.1437004581715
2028,449,6.799,45.837,-2.428198864931749,8.258349207325033,950.691077862723,883.5806663413122
2028,459,6.811,45.849,-2.4371614160646105,8.248388164829073,946.1005662153026,889.2206071583312
2028,460,6.819,45.856,-2.4467230389498145,8.23802566619954,942.7645840410318,891.9124677033849
2028,462,6.823,45.859,-2.4531857410976214,8.231050205284063,940.9673700391713,892.7529721299173
2028,464,6.831,45.863,-2.472526777873384,8.210109169653368,936.8797096507458,892.4941113273525
2028,468,6.844,45.863,-2.524299881390646,8.153665557384539,928.6698248936603,885.9023630420367
2028,484,6.862,45.976,-2.2545884159187177,8.45783150263724,943.4267576818272,981.3781797904912
2028,488,6.865,45.868,-2.59286905741766,8.07937915960319,916.5618022427933,879.8164502106985
2028,489,6.865,45.99,-2.2253001646117343,8.49153774039722,944.6657044869518,992.6370407058013
2028,490,6.865,45.99,-2.2253001646117343,8.49153774039722,944.6657044869518,992.6370407058013
2028,491,6.865,45.99,-2.2253001646117343,8.49153774039722,944.6657044869518,992.6370407058013
2028,497,6.871,45.984,-2.33707600189186,8.305706789468701,972.3202560571739,988.1337677052101
2028,498,6.871,45.984,-2.33707600189186,8.305706789468701,972.3202560571739,988.1337677052101
2028,499,6.871,45.984,-2.33707600189186,8.305706789468701,972.3202560571739,988.1337677052101
2028,500,6.871,45.992,-2.3136111278325653,8.333005899876722,974.1489742050283,995.6015032357318
2028,503,6.875,45.88,-2.5970136700322803,8.0762177511788,912.9984382982419,885.6028306900361
2028,504,6.877,45.985,-2.29223239575824,8.420103337458382,935.6838288358014,980.7070908092923
2028,506,6.88,45.886,-2.599336634649123,8.074486993981935,911.1977853899697,888.4305532460132
2028,509,6.882,45.877,-2.6341194606127094,8.035576616445288,907.8600078332844,879.2320071061367
2028,517,6.888,45.882,-2.643504673646928,8.026085679767895,905.1895905086034,880.6087393073404
2028,518,6.889,45.892,-2.618079961213286,8.055095534523801,906.8323341589036,889.0850461767078
2028,524,6.901,45.901,-2.6406263623566524,8.032278484170618,901.2020618876348,890.7184148648339
2028,526,6.906,45.895,-2.6784602879708905,7.990392674692914,896.6544122122498,882.6881445601147
2028,527,6.909,45.897,-2.6848946646782834,7.983817148762716,895.1851109794059,882.851713065713
2028,530,6.912,45.907,-2.668306778992114,8.003621519926295,895.4998056392163,890.077878439384
2028,531,6.919,45.906,-2.699904877191351,7.969426973736972,890.7875897349271,885.3790610835704
2028,534,6.924,45.911,-2.706173707515133,7.963759336963199,888.6854552408992,887.0289712348515
2028,535,6.928,45.905,-2.739663024702337,7.926432087013939,884.7934270593512,879.5995041996944
2028,537,6.934,45.883,-2.82631529145772,7.828168255857439,876.1069055245655,857.2900499950663
2028,539,6.947,45.933,-2.7395884086700226,7.933372861254464,878.6679990611066,893.2709718973047
2028,541,6.951,45.939,-2.739658369198104,7.934948554791819,877.3729958942404,896.1416506580682
2028,542,6.952,45.951,-2.710605901704657,7.969279600706908,879.3039260311722,905.8589683901608
2028,543,6.955,45.927,-2.7895816405744056,7.878334891382362,872.2030216300625,883.6056207298786
2028,544,6.955,45.946,-2.737099812690371,7.939672516108891,876.2824726179609,899.8328551147641
2028,547,6.957,45.955,-2.7207175493192826,7.959736772805436,876.9087121807572,906.3630738833418
2028,548,6.96,45.887,-2.9203166424790363,7.727293897564691,860.375402305836,846.9290918409058
2028,549,6.961,45.912,-2.855728758278967,7.803369379755275,865.1118839587425,867.5152128251718
2028,553,6.969,45.888,-2.9540379300665323,7.691062377908976,854.834497603525,842.9749338493566
2028,557,6.977,45.894,-2.9702497433091586,7.675144094723554,850.991194015837,843.6925562732171
2028,564,6.985,45.951,-2.8501178418304196,7.821157952232133,857.8391927873071,886.6018367443968
2028,566,6.986,45.973,-2.795476477060569,7.8865548620984525,861.7769042589249,904.3295231037679
2028,567,6.986,45.973,-2.795476477060569,7.8865548620984525,861.7769042589249,904.3295231037679
