hydrological_year,glacier_index,annual_temperature_c,winter_temperature_c,summer_temperature_c,annual_precipitation_mm,winter_precipitation_mm,summer_precipitation_mm,RGI_ID,GLIMS_ID,glacier_name,latitude,longitude,mass_balance
1968,423,1.0405382975158683,-4.237913585205078,6.318989964477538,1622.9725949096674,787.0112917480467,835.9613031616209,3344,G006776E45799N,de la Berangere,45.799,6.776,1.0201751
1968,424,1.0646435154323515,-4.219127887687688,6.3484147258911054,1633.6355291748018,790.549427307128,843.086101867674,3601,G006778E45809N,d'Armancette,45.809,6.778,0.9925896
1968,427,1.069756436451911,-4.218176025180818,6.357688726318359,1638.001433868408,791.0769649353026,846.9244689331055,3650,G006783E45817N,de Covagnet,45.817,6.783,1.0475857
1968,429,0.9593085480346651,-4.3107092350769065,6.229326092193602,1593.9018420410143,774.321153320312,819.5806887207024,3651,G006784E45784N,de Tre la Tete 1,45.784,6.784,-0.1549152
1968,431,1.077550347452172,-4.2130314575195245,6.368131992492685,1642.0617050170931,792.1607617187512,849.9009432983421,3276,G006785E45822N,du Miage 1,45.822,6.785,-0.445979
1968,437,1.032399545303346,-4.255252836914062,6.320051762878419,1627.0572781372075,784.9944362792971,842.0628418579104,3388,G006792E45817N,du Miage 2,45.817,6.792,1.1228756
1968,447,1.0097253416433403,-4.278804771785731,6.298255299804696,1621.1129283142118,781.2327843322764,839.8801439819355,3579,G006799E45819N,du Miage 3,45.819,6.799,1.1369828
1968,448,1.0352499661321566,-4.257662430324561,6.328162222656242,1631.3840135192845,785.1095990295399,846.2744144897445,3649,G006799E45827N,du Miage 4,45.827,6.799,0.2232465
1968,449,1.0671557467432113,-4.2312345034980705,6.365545876220715,1644.2228700256385,789.9556174011244,854.2672526245143,3296,G006799E45837N,du Tricot,45.837,6.799,0.5762497
1968,459,1.0548514954004184,-4.2498887397956935,6.359591638671863,1644.637505035396,787.5924457702621,857.0450592651341,3648,G006811E45849N,de Bionnassay,45.849,6.811,0.6089227
1968,460,1.0431729789886528,-4.265307481498714,6.351653363525396,1643.4842877197286,785.5074749145516,857.9768128051771,3438,G006819E45856N,de Tete Rousse,45.856,6.819,0.9890159
1968,462,1.0356773380117454,-4.274411061153409,6.345765667968754,1642.2345030212418,784.2173482971198,858.0171547241222,3280,G006823E45859N,de la Griaz,45.859,6.823,1.0132138
1968,464,1.0142886082715956,-4.297923222484592,6.326500379394528,1637.158833465575,780.6664673156733,856.4923661499017,3290,G006831E45863N,du Bourgeat,45.863,6.831,1.0693326
1968,468,0.9591108524970982,-4.352930012283328,6.271151662231442,1620.7280264282217,771.7741431884762,848.9538832397456,3647,G006844E45863N,Taconnaz,45.863,6.844,0.909714
1968,484,1.2287486592559782,-4.147736083755496,6.605233502288814,1735.6451147460925,812.9544556884762,922.6906590576165,3449,G006862E45976N,de la Floria,45.976,6.862,0.013317
1968,488,0.8852584138679559,-4.42937410793304,6.199890894470222,1600.2618164062524,759.7738858032235,840.4879306030288,3646,G006865E45868N,Bossons,45.868,6.865,0.6738511
1968,489,1.2581113773822836,-4.126496265411373,6.64271913604737,1748.5128707885765,817.4619812011726,931.0508895874037,3709,G006865E45990N,du Mort 2,45.99,6.865,-0.4883583
1968,490,1.2581113773822836,-4.126496265411373,6.64271913604737,1748.5128707885765,817.4619812011726,931.0508895874037,3710,G006865E45990N,du Mort 1,45.99,6.865,-0.3780008
1968,491,1.2581113773822836,-4.126496265411373,6.64271913604737,1748.5128707885765,817.4619812011726,931.0508895874037,3711,G006865E45990N,du Mort 3,45.99,6.865,-0.5076665
1968,497,1.2128292213592564,-4.168541707725522,6.594200253784184,1732.8825421142592,810.3914776000981,922.4910645141612,0,G006871E45984N,des Dards 1,45.984,6.871,-0.144886
1968,498,1.2128292213592564,-4.168541707725522,6.594200253784184,1732.8825421142592,810.3914776000981,922.4910645141612,0,G006871E45984N,des Dards 1,45.984,6.871,-0.1176728
1968,499,1.2128292213592564,-4.168541707725522,6.594200253784184,1732.8825421142592,810.3914776000981,922.4910645141612,3812,G006871E45984N,des Dards 2,45.984,6.871,-0.0370664
1968,500,1.2371808460311788,-4.14879736553193,6.623159170776356,1742.553949584957,814.1657590942367,928.3881904907204,3573,G006871E45992N,de Berard,45.992,6.871,-0.2243497
1968,503,0.8791418504715044,-4.442308363914483,6.200592041015634,1602.027816772464,758.5776138305677,843.4502029418964,3483,G006875E45880N,Rond,45.88,6.875,0.2153037
1968,504,1.188915830664634,-4.193238038158417,6.571069799194335,1725.7459281921383,806.6288105773924,919.1171176147458,3450,G006877E45985N,du Belvedere,45.985,6.877,0.1163583
1968,506,0.8759002875518888,-4.448993929290764,6.2007944883728126,1602.8171173095736,757.9634570312514,844.8536602783224,3265,G006880E45886N,du Telepherique,45.886,6.88,-0.728089
1968,509,0.8401237565670101,-4.479540261955254,6.159787749206553,1589.4641461181673,752.3587749633804,837.1053711547871,3391,G006882E45877N,Ouest de l'Aiguille du Midi,45.877,6.882,0.7543308
1968,517,0.8295327040710391,-4.4929979740905805,6.152063363006585,1587.7493792724586,750.5834677734367,837.1659114990221,3644,G006888E45882N,Arete Midi Plan,45.882,6.888,0.7934074
1968,518,0.8553225370140156,-4.4730318272018375,6.18367689276124,1598.3675500488314,754.5818709106458,843.7856791381856,3389,G006889E45892N,des Pelerins,45.892,6.889,-0.5302927
1968,524,0.8305262706937898,-4.50309487722396,6.164147419555677,1593.4375804138226,750.509628814699,842.9279515991236,3518,G006901E45901N,de Blaitiere,45.901,6.901,-0.7694286
1968,526,0.791081067590724,-4.539011049842825,6.121173180542005,1579.885305786137,744.2623532104509,835.622952575686,3381,G006906E45895N,du Plan,45.895,6.906,0.7404242
1968,527,0.7840853747243843,-4.5471862969779995,6.115357043823238,1578.3323625183089,743.1232312316888,835.2091312866202,3317,G006909E45897N,du Fou,45.897,6.909,1.0730973
1968,530,0.8007489108047384,-4.536442409820564,6.137940237304675,1586.0968502807577,745.6978676757797,840.3989826049781,3645,G006912E45907N,des Nantillons,45.907,6.912,0.3897689
1968,531,0.7674643793735487,-4.569160534591676,6.10408929797363,1575.769878845214,740.3916256103513,835.3782532348628,3418,G006919E45906N,de la Republique,45.906,6.919,0.4050985
1968,534,0.7604844311866784,-4.579141777725218,6.100110648071293,1574.9952359008798,739.2449825439458,835.7502533569343,3582,G006924E45911N,de la Thendia,45.911,6.924,-0.739145
1968,535,0.7255484103775061,-4.610511138153074,6.061607962341313,1562.842213439943,733.7048730468755,829.1373403930672,3313,G006928E45905N,de Trelaporte,45.905,6.928,-1.0788248
1968,537,0.6354241294078897,-4.687443517265314,5.958291765380868,1529.8430090332058,719.4233115844737,810.4196974487322,3643,G006934E45883N,Mer de Glace ,45.883,6.934,-0.1901325
1968,539,0.72417600829029,-4.628902121524812,6.077254154785155,1569.6316035461423,733.3975301208495,836.2340734252928,3519,G006947E45933N,des Drus,45.933,6.947,-0.5800173
1968,541,0.7239142476949709,-4.632863613338468,6.080692126953126,1571.038284759522,733.3568546447757,837.6814301147464,3263,G006951E45939N,du Nant Blanc,45.939,6.951,0.1324483
1968,542,0.7540630339508073,-4.610021973571776,6.118148064819338,1583.1904074096688,738.1476984863284,845.0427089233402,3639,G006952E45951N,de la Pendant,45.951,6.952,0.4349305
1968,543,0.6718427061223969,-4.677696626949311,6.0213820507812486,1552.2084800720208,725.0846510314939,827.1238290405271,3284,G006955E45927N,de la Charpoua,45.927,6.955,0.580871
1968,544,0.726427627725595,-4.6346774372100885,6.087532712402336,1573.516465759275,733.7644671630849,839.75199859619,3475,G006955E45946N,des Grands Montets,45.946,6.955,1.0756574
1968,547,0.7434200494432407,-4.623209092426303,6.110049213867182,1580.8903419494611,736.4751554870599,844.4151864624014,3585,G006957E45955N,de Lognan,45.955,6.957,0.3996409
1968,548,0.5354604929733291,-4.789711049652099,5.86063203063965,1500.905088806153,703.3698681640627,797.5352206420902,3534,G006960E45887N,de l'Aiguille du Tacul,45.887,6.96,1.2058475
1968,549,0.6026839717941244,-4.737760456428531,5.943128404479976,1527.4968511962875,714.0756803588861,813.4211708374015,3631,G006961E45912N,du Moine,45.912,6.961,0.4662033
1968,553,0.4996650134735041,-4.826086734352117,5.825416757751457,1490.4119329833961,697.6295341186512,792.7823988647447,3641,G006969E45888N,du Capucin,45.888,6.969,0.0837401
1968,557,0.48227071106147157,-4.84715785049439,5.811699271301261,1486.6838571166968,694.8392302246084,791.8446268920885,0,G006977E45894N,des Dards 1,45.894,6.977,0.363759
1968,564,0.6080825490617752,-4.756702840137482,5.972867945556641,1538.4580604553225,715.0579374694825,823.40012298584,3638,G006985E45951N,d'Argentiere,45.951,6.985,0.1564977
1968,566,0.6654736270732862,-4.712991291465761,6.043938555358883,1561.0649041748038,724.2871589965818,836.7777451782221,0,G006986E45973N,des Dards 1,45.973,6.986,0.3806472
1968,567,0.6654736270732862,-4.712991291465761,6.043938555358883,1561.0649041748038,724.2871589965818,836.7777451782221,3712,G006986E45973N,du Passon 1,45.973,6.986,0.3316426
1968,569,0.6958163457527193,-4.691410794143675,6.083043495605473,1573.527673645021,729.1933609619145,844.3343126831063,3698,G006988E45987N,du Tour,45.987,6.988,0.0923259
1968,571,0.6363933562183405,-4.739701253700256,6.012487972717288,1551.2110473632824,719.6703268432622,831.5407205200202,3511,G006990E45969N,Adams Reilly,45.969,6.99,0.9497966
